,Melbourne,Toronto,Prague,Paris,Tokyo,Amsterdam,Auckland,Moscow,Stockholm,London,Dallas,NewYork,Boston,Miami,Washington,Barcelona,Atlanta,Dublin,Vienna,Brisbane,Chicago,SanJose,Seattle,Tallinn,Copenhagen,Milan,Ljubljana,Frankfurt,Fremont,Singapore,Warsaw,Mexico,Kiev,Zurich,Malaysia,LosAngeles,Phoenix,Houston,Baltimore,CapeTown,Bruges,Lisbon,Helsinki,NewDelhi,Budapest,Bergen,Medellin,BuenosAires,SanAntonio,Montreal,Vancouver,Roubaix,KansasCity,Hyderabad,Jakarta,Valencia,Christchurch,Graz,Luxembourg,Cairo,Fez,Bangkok,Hanoi,Istanbul,Philadelphia,Varna,Santiago,Denver,HongKong,SanDiego,Reykjavik,Manchester,Charlotte,LasVegas,Columbus,Detroit,Portland,Halifax,Hangzhou,Chennai,SaltLakeCity,TelAviv,Newcastle,Orlando,StLouis,Coventry,Minneapolis,Sacramento,Madrid,Taipei,Tampa,Panama,SanFrancisco,SouthBend,Adelaide,Monticello,Sydney,Lima,Asheville,Pune,Manila,Seoul,Manhattan,DaresSalaam,Riyadh,Thessaloniki,Osaka,OklahomaCity,ColoradoSprings,SaoPaulo,Siauliai,Riga,Oslo,Piscataway,Nairobi,Dubai,Winnipeg,Toledo,Cleveland,Wellington,NewOrleans,Salem,Albuquerque,Austin,DesMoines,Albany,Bratislava,Dhaka,Zagreb,Honolulu,Dusseldorf,Sofia,Indore,Maidstone,Gosport,Nuremberg,Sapporo,Nis,Geneva,Raleigh,Roseburg,Gothenburg,Dagupan,Saskatoon,Montevideo,SanJuan,Perth,Vilnius,Secaucus,Karaganda,Johannesburg,Novosibirsk,Guadalajara,Shanghai,Brunswick,Pittsburgh,Strasbourg,Lahore,Edinburgh,Lausanne,Arezzo,Rome,Cardiff,Limassol,Tirana,Kazan,Palermo,Dronten,Groningen,Rotterdam,Brno,Ankara,Venice,Hamburg,Belfast,Bursa,Gdansk,Pristina,Brussels,PhnomPenh,Munich,Lugano,Ktis,Bogota,Athens,Alblasserdam,TheHague,Westpoort,Canberra,LaCeiba,Shenzhen,Bangalore,Liege,Vladivostok,Redding,Frosinone,Izmir,Bristol,Eindhoven,Indianapolis,Memphis,HoChiMinhCity,Cromwell,Bern,Syracuse,Basel,Brasilia,Savannah,Lyon,Algiers,Caracas,Lagos,Koto,Tbilisi,Valletta,Antwerp,Tunis,
Melbourne,0.0,218.592,242.737,279.703,143.378,274.962,34.396,319.276,301.726,265.16,189.154,216.654,223.636,261.535,213.486,225.732,203.44,258.946,281.879,28.458,251.187,205.866,188.866,281.521,276.095,284.317,273.094,273.398,207.423,81.994,286.422,198.099,303.844,282.055,125.046,157.196,165.353,192.006,214.494,390.74,277.649,316.472,258.642,292.831,287.997,288.633,359.747,347.523,259.356,252.361,184.236,292.6,230.676,127.672,93.113,238.26,49.099,288.604,261.787,316.869,282.769,237.544,119.805,316.869,329.26,314.78,323.525,231.519,114.345,197.723,323.621,272.889,272.234,210.025,331.141,245.097,202.123,265.924,236.854,114.778,183.378,284.926,288.912,259.155,203.399,239.926,269.926,252.429,295.388,324.309,257.392,264.373,168.496,214.817,11.45,293.078,11.287,285.57,214.296,139.625,125.493,286.713,217.399,268.731,277.648,278.915,130.113,245.126,220.782,323.484,308.524,303.506,298.929,217.906,431.321,242.304,217.721,225.71,243.633,36.369,251.11,256.629,229.557,243.296,237.252,222.499,244.906,130.001,272.122,210.336,247.815,305.292,146.699,284.103,281.968,275.317,161.161,308.426,298.072,218.583,210.377,296.097,170.127,229.54,347.274,247.426,35.514,260.908,247.858,319.772,450.823,362.694,210.6,246.716,256.369,219.666,294.706,179.697,289.013,235.225,293.959,281.401,253.951,339.984,266.316,316.595,311.893,275.605,279.951,302.05,289.379,286.704,241.86,278.551,253.244,299.983,301.822,321.16,274.257,111.278,238.866,280.009,284.701,362.455,275.511,239.503,239.095,242.868,12.628,220.391,163.055,118.715,233.325,179.378,274.021,249.054,324.74,270.921,290.476,249.987,245.056,131.892,251.915,227.703,262.611,246.422,360.311,225.445,240.821,285.379,256.765,413.326,124.85,349.459,305.721,272.506,312.329,
Toronto,218.592,0.0,109.877,92.279,178.253,94.375,227.9,131.733,113.904,88.928,45.739,12.492,20.112,41.814,20.143,108.185,26.17,96.606,108.676,224.368,14.613,61.613,54.278,109.306,106.885,116.426,105.59,94.572,59.67,249.922,128.389,72.428,126.838,109.215,215.69,69.494,56.448,37.592,20.456,228.163,94.189,122.903,110.774,219.713,121.776,125.707,99.35,174.414,47.835,7.995,50.755,89.159,36.765,217.366,248.183,114.5,219.036,113.686,106.89,138.664,139.588,278.226,260.438,131.886,17.476,135.972,151.947,33.757,240.032,64.432,132.386,97.627,26.26,80.87,24.601,22.895,54.699,27.385,211.12,224.089,51.46,143.619,93.079,41.039,18.923,88.645,35.519,64.378,113.57,198.631,40.558,85.013,63.315,15.803,217.965,18.141,199.4,125.197,26.747,220.703,251.984,185.883,13.735,215.8,184.007,146.21,166.191,38.45,33.579,139.131,114.465,115.797,116.326,13.502,254.359,187.597,79.271,25.472,29.93,204.979,45.806,22.131,55.166,45.641,30.914,25.13,110.105,240.052,104.592,114.44,92.683,126.453,220.442,87.101,90.153,94.47,178.63,120.81,98.166,20.863,59.636,115.816,226.661,51.719,165.257,47.214,262.757,122.012,15.266,183.18,250.913,169.444,65.457,208.97,22.285,17.122,97.033,261.55,97.357,108.935,114.886,117.56,89.64,141.613,130.63,147.215,131.997,89.752,97.169,99.27,112.129,148.449,114.632,97.043,78.611,145.49,115.02,120.334,96.695,249.812,105.566,106.536,112.649,93.531,139.64,93.003,96.174,95.416,214.39,14.362,220.389,212.29,91.976,233.799,76.159,120.624,149.518,88.979,95.868,18.066,41.764,254.952,85.384,102.404,17.179,108.771,140.091,53.321,111.456,129.913,88.71,217.176,232.612,168.014,132.592,97.541,151.459,
Prague,242.737,109.877,0.0,23.061,269.007,20.941,279.038,51.756,35.19,25.129,140.272,96.688,93.922,130.395,100.275,43.091,113.692,36.551,1.553,282.301,120.246,169.083,174.256,44.517,19.46,31.995,22.256,13.194,169.175,242.197,13.705,163.227,25.765,13.651,262.122,164.056,152.407,135.129,105.796,169.719,27.679,60.931,35.993,227.257,5.354,38.916,184.768,258.725,132.121,99.004,170.013,34.23,132.988,133.224,258.25,43.835,321.931,23.378,17.996,62.091,75.453,188.559,348.128,34.265,96.748,21.143,226.352,144.732,259.211,161.816,66.433,31.775,108.274,171.665,115.923,117.375,176.139,111.304,186.412,149.276,143.63,74.062,35.277,125.117,125.975,32.647,128.122,169.697,39.498,293.098,129.114,172.297,164.602,118.655,330.035,123.738,276.702,195.052,121.629,142.223,314.981,293.037,94.4,151.229,95.436,31.865,246.858,138.225,144.733,217.652,28.005,36.079,120.334,95.613,199.297,135.249,203.684,125.053,132.082,305.221,147.711,90.55,166.009,146.712,126.311,98.1,0.224,185.203,12.872,208.641,17.636,13.325,132.158,28.779,30.235,16.395,294.331,14.514,17.64,106.047,187.105,39.665,320.429,143.039,255.097,136.714,209.652,29.721,94.95,85.587,183.551,89.237,149.405,184.207,93.201,116.444,32.675,137.384,36.362,17.528,26.525,17.122,31.817,67.391,18.525,68.281,52.456,21.798,24.151,21.169,9.954,53.34,22.536,23.642,27.286,57.412,38.011,24.67,22.557,207.671,14.628,20.875,9.391,188.831,25.788,21.367,21.635,20.327,248.872,98.678,209.314,136.99,24.737,138.257,172.438,29.618,29.919,30.485,22.113,122.524,128.876,262.637,97.05,25.276,96.405,14.742,230.438,138.885,36.43,43.507,161.51,121.874,262.678,58.887,46.077,26.091,53.931,
Paris,279.703,92.279,23.061,0.0,234.898,9.92,279.387,49.516,30.591,8.321,113.901,74.242,76.799,108.413,78.691,22.222,91.32,17.322,21.791,286.23,93.703,141.464,147.905,38.916,23.448,16.64,43.337,10.418,148.278,256.105,30.576,135.228,48.155,18.524,243.338,144.472,131.362,107.635,84.012,151.35,17.482,43.833,32.704,205.014,25.577,35.6,162.778,237.49,112.516,83.003,143.002,4.613,104.821,137.1,261.212,26.007,293.039,30.108,8.126,63.448,53.931,172.472,260.118,47.832,73.741,42.38,203.331,117.11,253.596,141.958,45.794,13.458,87.733,151.815,94.481,89.344,149.696,89.892,185.001,134.793,123.893,68.198,14.741,103.571,99.459,12.382,101.981,143.649,17.806,271.827,108.653,151.786,146.42,90.447,302.445,100.227,269.559,169.904,101.668,123.576,298.831,273.161,78.971,131.008,89.123,59.492,231.04,111.3,117.545,202.631,44.932,46.499,106.081,73.056,183.932,126.606,175.857,100.353,102.362,278.458,122.195,71.473,142.578,122.33,99.403,82.318,23.113,176.095,33.482,186.637,12.916,40.848,134.126,9.839,10.385,12.937,258.263,37.095,11.213,84.613,160.036,43.556,292.904,116.439,237.069,116.776,269.821,43.371,73.368,90.576,169.208,92.595,128.745,218.824,74.161,88.215,7.164,123.468,17.643,12.441,29.627,20.095,12.919,62.357,44.504,66.945,37.551,11.178,14.632,14.8,31.181,48.573,25.531,19.128,8.344,48.454,35.131,43.627,9.433,192.698,17.023,22.48,25.698,166.002,53.692,14.837,15.26,9.425,232.717,79.832,215.941,138.145,10.674,149.947,151.031,31.637,57.261,11.555,15.129,98.357,100.957,170.967,76.616,19.056,77.164,22.704,228.891,115.661,14.893,29.586,148.133,100.129,252.646,77.086,43.079,11.369,47.482,
Tokyo,143.378,178.253,269.007,234.898,0.0,239.909,197.971,194.066,247.357,216.519,146.631,175.906,181.682,177.251,169.961,237.529,165.064,254.68,233.226,130.17,169.071,106.097,143.312,240.293,233.71,264.325,224.649,221.612,107.779,75.3,248.545,155.502,255.268,226.673,78.372,114.764,123.039,149.507,171.518,363.603,244.077,273.159,241.889,252.287,237.005,248.42,227.324,308.289,154.279,137.632,120.031,246.624,138.591,239.816,78.259,254.062,253.126,264.208,239.225,280.693,274.846,98.513,109.432,287.763,175.127,269.92,355.471,147.819,47.638,117.134,261.229,229.175,167.992,123.161,186.957,134.383,85.173,153.809,166.765,102.637,138.676,288.268,232.2,177.905,150.005,238.277,169.835,118.722,229.779,32.582,165.089,221.624,115.467,172.073,288.132,152.111,113.462,242.946,172.376,132.615,69.269,32.991,180.355,250.657,296.08,313.903,7.346,157.212,113.51,279.959,264.628,254.341,254.586,176.163,407.981,337.882,173.618,160.073,130.705,252.863,169.473,185.315,138.107,136.552,130.341,175.559,282.315,113.763,224.691,78.384,260.586,254.82,392.469,213.773,235.417,224.552,18.07,247.797,265.09,196.343,89.954,207.024,58.894,138.437,298.256,199.252,128.322,245.19,139.274,299.519,408.858,78.358,159.638,47.091,166.092,177.238,256.15,165.08,233.417,230.13,223.387,264.557,233.315,262.337,257.453,274.944,301.553,239.719,238.919,253.474,231.112,321.069,248.01,229.277,206.665,311.533,269.945,254.981,231.311,86.142,228.731,269.837,242.931,241.709,305.99,220.041,230.477,250.091,181.997,177.987,163.006,243.121,218.568,30.601,124.956,274.995,292.664,238.152,225.785,138.425,148.358,75.7,176.99,234.119,187.895,229.924,317.885,183.019,240.387,251.804,210.015,322.648,0.614,284.214,274.162,222.159,291.115,
Amsterdam,274.962,94.375,20.941,9.92,239.909,0.0,272.657,47.095,23.746,6.231,117.276,76.24,80.962,117.556,83.43,31.335,96.473,19.905,18.818,288.455,97.925,154.296,146.528,29.483,17.255,17.09,23.99,7.736,134.909,162.638,27.127,146.948,45.857,14.41,166.939,138.874,142.92,107.042,81.201,150.743,9.082,41.209,26.768,147.734,27.931,33.977,159.983,237.385,117.744,141.305,149.249,10.71,106.645,138.495,259.262,37.885,298.209,39.586,10.26,58.757,60.997,201.112,208.469,41.403,86.247,47.334,225.821,127.721,238.928,146.755,49.515,11.6,95.095,141.346,99.192,92.164,134.068,91.782,181.904,141.211,126.307,57.048,12.831,99.703,106.472,10.475,105.681,145.77,26.376,258.301,114.355,162.414,141.209,101.154,313.007,100.457,281.668,171.251,99.082,128.629,211.34,272.234,78.389,138.289,103.829,56.342,246.589,121.044,112.637,187.974,29.827,32.288,20.171,80.374,174.27,107.712,166.782,102.132,97.295,282.345,120.743,71.905,131.828,111.2,109.995,79.088,20.937,257.759,45.048,176.902,4.832,32.001,148.231,8.712,14.711,10.605,263.391,34.155,16.039,91.691,153.919,54.513,245.435,115.763,217.678,131.091,286.138,30.409,77.549,98.065,182.106,85.115,136.809,259.256,87.6,99.951,10.129,202.715,16.751,53.1,47.67,17.197,12.011,60.824,39.697,57.752,41.166,2.716,5.084,2.957,28.85,55.14,21.777,13.823,6.525,55.733,29.349,33.988,4.445,262.989,15.783,28.305,57.533,160.747,49.655,3.926,2.743,1.902,275.571,86.555,210.247,138.381,5.542,141.206,158.469,34.889,53.67,12.014,3.73,104.967,102.416,180.496,84.847,18.217,84.308,69.98,202.678,119.24,24.509,43.74,153.891,235.694,235.1,79.019,40.7,11.73,48.089,
Auckland,34.396,227.9,279.038,279.387,197.971,272.657,0.0,305.218,289.389,262.57,189.775,218.714,225.002,304.517,215.368,259.814,204.021,292.825,295.156,40.491,288.189,243.051,190.098,315.567,286.603,286.092,308.589,280.722,244.35,114.318,304.172,209.459,301.461,315.411,123.313,157.876,166.029,192.269,214.428,408.311,274.736,314.369,292.796,312.852,294.994,291.423,331.032,351.968,256.58,289.198,184.915,293.144,267.691,162.575,127.229,272.542,15.497,283.445,293.128,320.976,302.445,259.967,176.081,305.311,362.187,324.699,330.615,267.914,148.469,234.748,302.211,270.323,309.568,165.42,363.354,282.133,239.178,302.581,215.885,148.581,183.925,323.475,272.849,297.927,203.907,274.057,269.863,172.044,273.123,169.681,294.428,264.681,169.108,215.372,45.695,335.109,23.756,289.373,214.861,177.901,159.918,319.055,219.163,301.434,270.907,325.882,143.044,280.894,257.905,323.986,294.41,310.726,283.848,218.532,425.818,277.942,218.397,227.005,280.654,0.615,287.944,294.002,266.492,280.357,274.303,222.842,279.341,168.661,306.924,247.416,279.487,302.998,179.198,270.154,267.087,272.008,204.412,296.874,298.689,219.102,247.384,342.604,260.282,210.834,348.112,248.119,69.678,288.813,285.186,352.545,435.984,345.739,305.033,310.486,292.878,220.174,295.441,213.683,286.749,262.177,292.225,279.543,275.571,319.603,301.405,328.725,304.808,274.07,275.801,302.675,288.983,309.773,275.688,275.376,290.394,324.351,301.543,304.628,274.534,144.017,272.957,277.739,300.96,349.072,309.839,286.385,276.19,274.662,27.598,220.99,161.404,153.336,269.701,459.373,311.813,283.43,320.119,267.933,285.068,285.642,313.187,166.087,227.91,261.718,299.737,262.152,361.024,222.888,275.013,282.711,259.159,414.092,136.86,330.047,303.801,266.714,314.884,
Moscow,319.276,131.733,51.756,49.516,194.066,47.095,305.218,0.0,18.589,44.812,153.094,117.366,122.698,150.855,129.125,66.878,136.5,60.588,58.352,295.167,135.901,189.531,183.29,22.466,27.69,60.489,60.539,43.921,178.28,174.947,63.144,180.708,10.437,41.739,206.265,178.506,172.847,152.87,122.844,191.212,54.289,78.172,16.177,194.531,52.641,33.591,197.1,276.015,158.561,132.213,183.02,50.193,139.157,170.201,194.003,76.732,332.291,69.49,45.564,92.535,102.362,246.72,311.661,76.73,130.283,75.82,256.091,160.998,184.664,179.771,86.843,58.727,138.608,179.511,138.726,129.375,181.186,145.197,123.104,173.852,158.156,97.201,54.098,148.111,140.703,50.285,146.495,190.781,66.818,307.945,147.341,185.579,184.4,138.624,338.238,139.425,273.567,213.069,137.442,165.752,288.672,271.091,114.608,177.723,125.017,89.419,187.715,156.971,155.047,232.862,26.454,21.688,28.132,113.765,206.95,130.253,214.659,141.552,147.26,309.422,163.274,118.318,172.068,154.342,149.255,118.867,56.229,214.247,55.079,219.818,45.902,66.508,165.462,52.309,52.015,37.346,205.11,67.685,42.681,131.251,186.729,25.091,271.997,166.369,279.469,167.047,302.789,23.236,113.762,50.496,222.404,41.498,179.983,125.827,124.519,131.604,45.188,223.901,59.276,54.777,81.263,53.723,55.516,93.72,66.297,14.443,68.98,51.859,42.795,41.167,47.274,101.732,66.508,43.578,48.082,100.17,59.661,65.877,43.725,227.764,45.913,70.765,61.337,201.552,80.543,44.97,50.217,43.03,331.3,112.922,151.031,174.752,45.995,99.708,191.794,81.311,107.486,52.401,41.816,140.897,156.726,263.444,118.633,63.637,129.631,57.394,245.615,153.536,59.749,98.634,200.097,146.371,215.587,72.589,78.683,51.492,82.855,
Stockholm,301.726,113.904,35.19,30.591,247.357,23.746,289.389,18.589,0.0,28.969,138.341,93.033,99.997,142.527,105.32,54.493,119.698,40.69,42.615,311.219,110.016,166.3,150.402,6.053,10.017,33.327,46.401,27.168,157.543,178.642,44.861,158.884,59.487,41.371,190.081,164.736,155.286,144.086,101.683,170.161,35.229,62.207,6.684,174.698,39.932,15.116,179.931,251.811,142.187,103.581,154.683,27.778,124.529,165.312,277.273,64.965,302.836,58.498,32.912,80.043,84.681,208.791,303.371,61.527,102.36,60.57,227.185,138.43,207.893,164.52,68.246,33.105,119.964,162.953,119.23,112.229,154.583,112.571,183.338,164.376,140.968,83.798,36.803,138.556,117.323,36.286,123.021,162.312,53.506,282.454,134.529,177.072,164.68,120.432,321.225,119.629,294.706,226.298,119.345,157.845,319.579,255.972,95.351,162.734,103.896,68.409,223.481,143.408,131.898,230.914,14.282,8.4,9.619,98.55,187.251,143.564,181.343,123.141,119.028,299.532,141.375,95.41,158.96,132.356,130.507,102.365,35.201,196.789,45.753,197.406,24.124,64.897,158.531,32.869,30.756,32.036,233.614,52.916,36.464,114.605,158.266,7.03,267.682,131.623,256.945,145.031,291.712,12.492,94.13,73.865,190.919,59.591,159.799,213.757,100.652,116.074,37.774,220.865,41.729,35.064,61.083,40.094,31.66,84.101,67.39,32.66,58.112,21.844,26.085,23.741,37.601,74.214,50.581,49.303,26.193,79.149,43.579,62.666,27.164,221.372,33.113,38.717,36.815,185.427,61.973,23.619,21.972,24.385,313.283,97.575,218.842,165.76,25.128,123.077,186.6,53.484,72.804,34.561,25.207,174.756,204.62,272.084,99.594,40.09,102.296,34.851,252.866,143.292,45.83,69.924,181.627,121.401,252.922,80.118,62.413,25.944,67.07,
London,265.16,88.928,25.129,8.321,216.519,6.231,262.57,44.812,28.969,0.0,110.2,70.839,75.117,98.425,75.938,29.405,87.745,11.432,27.854,282.86,85.73,138.151,131.284,33.799,16.379,26.195,32.504,12.919,134.031,169.15,29.553,134.12,48.717,21.784,189.702,129.742,125.702,107.936,76.681,143.008,9.553,50.288,34.38,140.284,26.065,28.46,152.694,231.155,109.605,83.965,137.824,3.625,98.007,184.269,190.767,39.338,273.021,48.845,15.254,61.265,53.274,241.57,214.34,45.22,70.195,52.12,199.921,119.804,211.906,136.148,37.526,6.313,92.484,146.285,84.431,90.709,139.298,87.948,184.109,143.487,118.634,63.173,9.297,97.472,92.034,5.807,97.291,136.765,23.416,262.685,102.595,149.183,132.994,83.926,305.708,92.42,278.329,171.674,90.285,140.11,259.351,269.272,68.979,129.708,90.697,60.301,231.572,111.18,108.079,178.396,37.011,38.742,26.412,68.541,172.038,175.505,161.227,96.747,90.418,270.849,124.94,69.779,163.038,117.018,101.054,77.077,25.171,226.505,33.335,189.639,11.586,39.49,138.36,0.922,3.066,13.514,250.359,43.244,16.447,80.628,154.064,54.868,241.213,107.533,227.319,106.181,265.939,35.826,70.726,93.796,156.101,94.616,135.52,196.909,77.33,87.337,13.774,145.952,9.923,25.903,34.253,26.194,4.828,66.179,43.458,63.422,49.802,6.471,8.517,6.22,35.112,56.454,29.866,12.558,9.821,57.816,38.955,55.118,8.904,199.413,19.769,25.394,25.102,150.315,54.431,8.436,8.161,5.344,285.443,72.558,233.31,144.519,11.712,141.645,157.29,33.794,61.375,3.771,7.583,89.278,104.364,314.904,69.993,18.317,75.684,24.317,225.994,111.964,20.706,38.218,150.524,96.047,242.052,81.451,44.999,10.286,57.566,
